venue,product_type,symbol,phase,rows,total_usdt_volume,mean_usdt_volume_per_bar,total_base_volume,mean_base_volume_per_bar,event_vs_pre_usdt_vol_ratio
futures,USDT-FUTURES,BTCUSDT,event_window,358,845782280.23149,2362520.3358421507,13252.7307,37.01880083798883,0.8080575723170138
futures,USDT-FUTURES,BTCUSDT,post_window,3941,11004242464.20917,2792246.2482134406,164366.8323,41.70688462319209,0.8080575723170138
futures,USDT-FUTURES,BTCUSDT,pre_window,4299,12568999130.42441,2923702.9845137033,187946.2489,43.71859709234706,0.8080575723170138
futures,USDT-FUTURES,XAGUSDT,event_window,358,47175372.2401,131774.7827935754,498552.4,1392.604469273743,0.9771025634373093
futures,USDT-FUTURES,XAGUSDT,post_window,3941,483653880.688,122723.64391981732,5260736.89,1334.8736082212636,0.9771025634373093
futures,USDT-FUTURES,XAGUSDT,pre_window,4299,579775156.0867,134862.7950887881,6431958.23,1496.1521819027682,0.9771025634373093
futures,USDT-FUTURES,XAUUSDT,event_window,358,117115157.18439999,327137.3105709497,21939.25,61.28282122905028,3.665493513952051
futures,USDT-FUTURES,XAUUSDT,post_window,3941,494499835.3963,125475.72580469424,92653.46,23.510139558487694,3.665493513952051
futures,USDT-FUTURES,XAUUSDT,pre_window,4299,383676384.3099,89247.82142588974,73700.58,17.143656664340543,3.665493513952051
spot,SPOT,BTCUSDT,event_window,358,94920208.6136036,265140.2475240324,1487.22004,4.15424592178771,0.7740445560213477
spot,SPOT,BTCUSDT,post_window,3941,1024852087.3786628,260048.74077103852,15316.341576,3.8864099406242074,0.7740445560213477
spot,SPOT,BTCUSDT,pre_window,4299,1472574046.5958128,342538.7407759509,21925.265896,5.100085111886486,0.7740445560213477
